year,site,common_name,total_count
2016,abur,black surfperch,2
2016,abur,blacksmith,1
2016,abur,garibaldi,1
2016,abur,rock wrasse,2
2016,abur,senorita,58
2016,aque,black surfperch,1
2016,aque,blacksmith,1
2016,aque,garibaldi,1
2016,aque,rock wrasse,1
2016,aque,senorita,57
2016,mohk,black surfperch,1
2016,mohk,blacksmith,1
2016,mohk,garibaldi,2
2016,mohk,rock wrasse,17
2016,mohk,senorita,4
2017,abur,black surfperch,4
2017,abur,blacksmith,1
2017,abur,garibaldi,1
2017,abur,rock wrasse,57
2017,abur,senorita,64
2017,aque,black surfperch,1
2017,aque,blacksmith,1
2017,aque,garibaldi,1
2017,aque,rock wrasse,1
2017,aque,senorita,1
2017,mohk,black surfperch,50
2017,mohk,blacksmith,8
2017,mohk,garibaldi,6
2017,mohk,rock wrasse,4
2017,mohk,senorita,31
2018,abur,black surfperch,1
2018,abur,blacksmith,1
2018,abur,garibaldi,1
2018,abur,rock wrasse,1
2018,abur,senorita,1
2018,aque,black surfperch,2
2018,aque,blacksmith,1
2018,aque,garibaldi,1
2018,aque,rock wrasse,4
2018,aque,senorita,36
2018,mohk,black surfperch,32
2018,mohk,blacksmith,31
2018,mohk,garibaldi,10
2018,mohk,rock wrasse,4
2018,mohk,senorita,4
